"n_nationkey","n_name","n_regionkey","n_comment"
0,ALGERIA,0,slyly express pinto beans cajole idly. deposits use blithely unusual packages? fluffily final accounts x-r
1,ARGENTINA,1,instructions detect blithely stealthily pending packages
2,BRAZIL,1,blithely unusual deposits are quickly--
3,CANADA,1,carefully pending packages haggle blithely. blithely final pinto beans sleep quickly even accounts? depths aroun
4,EGYPT,0,slyly express deposits haggle furiously. slyly final platelets nag c
5,ETHIOPIA,0,quickly special pinto beans nag quickly blithely close instructions. furiously regular ideas against
6,FRANCE,3,even idle instructions haggle evenly carefully even theodolites. carefully unusual frays lose acros
7,GERMANY,3,carefully regular dependencies was regular dependencies. even packages wa
8,INDIA,2,slyly even theodolites maintain. even pending requests might cajole against th
9,INDONESIA,2,enticingly silent platelets above the blithely sil
10,IRAN,4,furiously ironic deposits sleep blithely against the furiously even pinto beans
11,IRAQ,4,carefully furious packages are-- furiously ironic accounts caj
12,JAPAN,2,furiously unusual attainments poach. pending accounts cajole. 
13,JORDAN,4,ironic dependencies wake carefully alongside of the realms? unusual req
14,KENYA,0,carefully ironic dolphins should sleep slyly furiously special theod
15,MOROCCO,0,even foxes wake quickly. furiously special ideas are above the special deposits
16,MOZAMBIQUE,0,carefully pending notornis across the quickly even theodolites grow alongs
17,PERU,1,slow deposits nag around the furiously final requests. quickly ironic excuses across the
18,CHINA,2,quickly regular pinto beans boost slyly express decoys. furiously express excuses impress blithely regular foxes
19,ROMANIA,3,slyly final pinto beans affix slyly regular even packages. carefully regular acco
20,SAUDI ARABIA,4,blithely regular dolphins nag furiously above the slyly silent waters-- slyly fluffy pinto beans cajole bravely 
21,VIETNAM,2,quickly regular sauternes affix. blithely final excuses are blithely about the fluff
22,RUSSIA,3,silent Tiresias thrash for the blithely
23,UNITED KINGDOM,3,furiously regular requests are furiously special deposits. excuses boost silently express ideas. accounts according 
24,UNITED STATES,1,special asymptotes cajole carefully. slyly regular accounts according to the quickly i
