"s_suppkey","s_nationkey","s_comment","s_name","s_address","s_phone","s_acctbal"
1,13,blithely final pearls are. instructions thra,Supplier#000000001,",wWs4pnykQOFl8mgVCU8EZMXqZs1w","800-807-9579",3082.8600
2,5,requests integrate fluffily. fluffily ironic deposits wake. bold,Supplier#000000002,WkXT6MSAJrp4qWq3W9N,"348-617-6055",3009.7300
3,22,carefully express ideas shall have to unwin,Supplier#000000003,KjUqa42JEHaRDVQTHV6Yq2h,"471-986-9888",9159.7800
4,22,quickly ironic instructions snooze? express deposits are furiously along the slyly,Supplier#000000004, dxp8WejdtFKFPKa Q7Emf0RjnKx3gR3,"893-133-4384",9846.0100
5,9,regular requests haggle. final deposits according to the,Supplier#000000005,W9VO4vl4dfoDYZ RhawP8xLoc,"752-877-4449",-74.9400
6,2,furiously regular pinto beans detect. quickly final braids sleep carefully bold dolphins. slyly expre,Supplier#000000006, UehnPL54frpEmHoH ,"308-113-4748",7349.9600
7,0,carefully even packages affix furiously pending pinto beans.,Supplier#000000007,P5YDcLfpLaVkJcPnqeMv,"400-485-7616",1680.4400
8,15,regular ironic theodolites wake blithely pending theodolites. furiously ironic deposits are carefully,Supplier#000000008,rPMo3 1Xbp,"893-918-3335",-276.1300
9,8,carefully bold deposits haggle carefully against the blithely regular depo,Supplier#000000009,"YUjB,vHmtrRQltUFBoTPLHZ","277-152-4591",5246.2000
10,19,express pinto beans nag daringly furiously bold warthogs. express special requests affix acc,Supplier#000000010,"4qmhqqhjW7SYPwRI","454-730-5084",6824.9800
11,18,bold requests poach carefully furious requests. care,Supplier#000000011,CsPrqsunkt7YgKwh0u,"488-820-1133",7866.5800
12,1,accounts breach along the fluffily regular foxes. special requests are. pending f,Supplier#000000012,"kaik3OgMM5wUm7gB2Ezas,AuQ","814-239-7110",5222.0500
13,2,excuses among the requests are blithely about the unusual accounts. carefully final dependencies han,Supplier#000000013,MiaaIaqfDllL b68vBe,"981-671-4833",5234.6400
14,22,slyly unusual ideas sleep according to the even accounts. slyly ,Supplier#000000014,WoeLCTPhTE,"772-647-1392",4930.0000
15,13,ironic ideas sleep about the slyly ironic accounts. slyly regular packages sleep furio,Supplier#000000015,"794RP7ebqdTYFOP","972-724-4712",4973.3800
16,18,ironic ironic pains cajole about the c,Supplier#000000016,BHEY8uFlvrLpsK e8Z6Is mIZ3rxmqSxh9QF3J,"924-198-3387",5917.4000
17,1,blithely special ideas sleep. quickly even cour,Supplier#000000017,QuGRFF5yaMaDFhuxIa1NgohuefzNRhUq D2J6pbk,"635-437-1512",8809.6600
